_id,user,location,direction,status,denialReason,method,verifiedBy,timestamp,__v
69ccc7df65c97d8ffba314e1,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:23:11.319Z,0
69ccc7f265c97d8ffba314e8,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:23:30.931Z,0
69ccc7f365c97d8ffba314f1,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:23:31.595Z,0
69ccc7fb65c97d8ffba314f6,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:23:39.366Z,0
69ccc7fc65c97d8ffba314ff,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:23:40.030Z,0
69ccc80465c97d8ffba31504,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:23:48.734Z,0
69ccc80565c97d8ffba3150d,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:23:49.372Z,0
69ccc81565c97d8ffba3151e,69caf9646ea0435bcf961542,69caf94e167f663c0f8d5010,entry,granted,,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:24:05.486Z,0
69ccc82565c97d8ffba3152b,69caf9606ea0435bcf961524,69caf94e167f663c0f8d5010,entry,granted,,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:24:21.469Z,0
69ccc83665c97d8ffba31538,69caf95d6ea0435bcf961510,69caf94e167f663c0f8d5010,entry,granted,,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:24:38.775Z,0
69ccc83c65c97d8ffba3153e,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:24:44.762Z,0
69ccc83d65c97d8ffba31547,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:24:45.404Z,0
69ccc90265c97d8ffba315c3,69caf9646ea0435bcf961542,69caf94e167f663c0f8d5010,entry,granted,,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:28:02.409Z,0
69ccc90d65c97d8ffba315c9,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:28:13.594Z,0
69ccc90e65c97d8ffba315d2,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:28:14.228Z,0
69ccc91565c97d8ffba315d5,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:28:21.810Z,0
69ccc91665c97d8ffba315de,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:28:22.448Z,0
69ccc92365c97d8ffba315e8,69caf9646ea0435bcf96153d,69caf94e167f663c0f8d5010,entry,granted,,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:28:35.434Z,0
69ccc92f65c97d8ffba315f5,69caf9606ea0435bcf961524,69caf94e167f663c0f8d5010,entry,granted,,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:28:47.337Z,0
69ccc93a65c97d8ffba31600,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:28:58.416Z,0
69ccc93b65c97d8ffba31609,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:28:59.062Z,0
69ccc9c965c97d8ffba31663,69caf9646ea0435bcf961542,69caf94e167f663c0f8d5010,entry,granted,,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:31:21.871Z,0
69ccc9d265c97d8ffba31669,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:31:30.032Z,0
69ccc9d265c97d8ffba31672,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:31:30.666Z,0
69ccca5e65c97d8ffba316b4,69caf9646ea0435bcf961542,69caf94e167f663c0f8d5010,entry,granted,,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:33:50.736Z,0
69ccca6c65c97d8ffba316be,69caf9646ea0435bcf961542,69caf94e167f663c0f8d5010,entry,granted,,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:34:04.006Z,0
69ccca7865c97d8ffba316c9,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:34:16.379Z,0
69ccca7965c97d8ffba316d2,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T07:34:17.020Z,0
69ccf38a65c97d8ffba3172c,69caf9646ea0435bcf961542,69caf94e167f663c0f8d5010,entry,granted,,qr,69caf9526ea0435bcf9614c5,2026-04-01T10:29:30.662Z,0
69ccf39d65c97d8ffba31732,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T10:29:49.818Z,0
69ccf39f65c97d8ffba3173b,69caf9526ea0435bcf9614c5,69caf94e167f663c0f8d5010,entry,denied,jwt expired,qr,69caf9526ea0435bcf9614c5,2026-04-01T10:29:51.584Z,0
69ccfc6c65c97d8ffba31826,69caf9646ea0435bcf961542,69caf94e167f663c0f8d5010,entry,granted,,qr,69caf9526ea0435bcf9614c5,2026-04-01T11:07:24.551Z,0
